req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit,plane
28,CORD,2,7,50174208,3015803151,3026740579,10937428,10000000,False,O
,CORD,0,6,143917056,3018292749,3018292749,0,0,True,O
,CORD,0,6,143917056,3067358292,3067358292,0,0,True,O
,CORD,2,7,130214016,3075487611,3075487611,0,0,True,O
30,CORD,2,5,13703040,3075487611,3086789751,11302140,10000000,False,O
,CORD,2,5,143917056,3125899580,3125899580,0,0,True,O
,CORD,0,6,143917056,3126080077,3126080077,0,0,True,O
,CORD,2,5,143917056,3173762450,3173762450,0,0,True,O
,CORD,0,6,210816,3194054644,3194054644,0,0,True,O
36,CORD,0,5,73363968,3194054644,3204056752,10002108,10000000,False,O
37,CORD,0,7,22978944,3194054644,3214790391,20735747,10000000,False,O
38,CORD,0,5,47363328,3194054644,3225020180,30965536,10000000,False,O
,CORD,2,5,57412224,3231111244,3241111244,10000000,10000000,False,O
32,CORD,2,7,86504832,3231111244,3251685366,20574122,10000000,False,O
,CORD,0,5,67180032,3271711011,3281711011,10000000,10000000,False,O
,CORD,2,7,42233472,3297646370,3297646370,0,0,True,O
33,CORD,2,5,101683584,3297646370,3308068704,10422334,10000000,False,O
,CORD,2,5,12859776,3350442036,3350442036,0,0,True,O
35,CORD,2,7,131057280,3350442036,3360570633,10128597,10000000,False,O
,CORD,2,7,143917056,3404302155,3404302155,0,0,True,O
,CORD,2,7,143917056,3459830160,3459830160,0,0,True,O
,CORD,2,7,103651200,3524548916,3524548916,0,0,True,O
39,CORD,2,7,40265856,3524548916,3525585428,1036512,0,False,O
,CORD,2,7,143917056,3599623124,3599623124,0,0,True,O
,CORD,2,7,51298560,3649317519,3649317519,0,0,True,O
